dataset,scene,method,num_disparities,all_pixels_gt,all_pixels_valid_pred,all_coverage_percent,all_mae,all_rmse,all_bad1_percent,all_bad2_percent,all_bad4_percent,nocc_pixels_gt,nocc_pixels_valid_pred,nocc_coverage_percent,nocc_mae,nocc_rmse,nocc_bad1_percent,nocc_bad2_percent,nocc_bad4_percent,point_cloud_points
ETH3D,forest_1s,sgbm_bilateral,128,144700,105473,72.89080856945405,0.441697359085083,2.355289936065674,7.708133835199529,3.6113507722355482,1.1320432717377906,122711,101111,82.39766606090734,0.2989075779914856,0.7608503103256226,6.41275429973,2.643629278713493,0.6359347647634778,101111
ETH3D,forest_2s,bm,128,125914,83875,66.61292628301857,0.3086123764514923,3.267456531524658,1.3114754098360655,0.46497764530551416,0.3028315946348733,119039,80168,67.34599585009956,0.28369390964508057,2.9828643798828125,1.1949905199081927,0.3829458137910388,0.27068156870571797,80168
ETH3D,forest_2s,sgbm,128,125914,92054,73.10862969963627,0.24892984330654144,1.0887492895126343,1.6957438025506768,0.7039346470549894,0.40519694961652947,119039,87976,73.90519073580927,0.24540619552135468,1.1017775535583496,1.52427934891334,0.610393743748295,0.39215240520141853,87976
ETH3D,forest_2s,sgbm_bilateral,128,125914,92054,73.10862969963627,0.3610057234764099,1.2806273698806763,5.98344449996741,3.5500901644686813,1.397006105112217,119039,87976,73.90519073580927,0.35998088121414185,1.2970548868179321,5.843639174320269,3.530508320451032,1.4185687005546967,87976
ETH3D,playground_1l,bm,128,228855,168109,73.45655546088135,0.563692033290863,4.554304599761963,2.0653266630578972,1.601341986449268,1.3544783444074975,216801,162421,74.91708986582165,0.5541439652442932,4.565092086791992,1.893228092426472,1.4505513449615506,1.1956581969080353,162421
ETH3D,playground_1l,sgbm,128,228855,184705,80.70830875445151,0.3293576240539551,0.7409029006958008,1.7075877751008366,0.7779973471210849,0.5522319374137138,216801,178779,82.46225801541506,0.32508033514022827,0.7094780206680298,1.6159616062289197,0.7159677590768491,0.491668484553555,178779
ETH3D,playground_1l,sgbm_bilateral,128,228855,184705,80.70830875445151,0.35823991894721985,0.7333658933639526,3.2836144121707584,1.7844671232505889,0.792615251346742,216801,178779,82.46225801541506,0.3548721969127655,0.7164743542671204,3.1502581399381357,1.7317470172671288,0.7668685919487188,178779
ETH3D,playground_1s,bm,128,102050,86281,84.54777070063693,0.21917113661766052,1.7635893821716309,0.7649424554652821,0.39522026865706245,0.2318007440803885,98495,83580,84.85709934514443,0.22073766589164734,1.780625343322754,0.7741086384302465,0.4044029672170376,0.2357023211294568,83580
ETH3D,playground_1s,sgbm,128,102050,95170,93.25820676139148,0.2139766365289688,0.3939306437969208,0.6535673006199433,0.1733739623831039,0.06619733109173058,98495,92347,93.75805878470989,0.21420569717884064,0.3969341516494751,0.6573034316220343,0.1775910424810768,0.06822094924577951,92347
ETH3D,playground_1s,sgbm_bilateral,128,102050,95170,93.25820676139148,0.23778106272220612,0.486540824174881,1.8209519806661763,0.9961122202374698,0.27634758852579594,98495,92347,93.75805878470989,0.2389337718486786,0.4915613830089569,1.859291585000054,1.024397110896943,0.28479539129587317,92347
